id,years,holding_name_en,summary_en,data_set_number,data_provider
2,2003-2013,ALS Registry - Horizon Health Network,"A sample of patients with amyotrophic lateral sclerosis (ALS) in New Brunswick. Variables include demographics, date of onset and diagnosis and information about the type of ALS and its location of onset.",PD0001,Horizon Health Network
38,1999-2019,BizNet,"Data from participants of the New Brunswick Provincial Nominee Program (NBPNP) including landing date, application, job offer, education, language test scores for primary applicant and family members.",PD0002,"Post-Secondary Education, Training and Labour"
45,2000-2020,Canadian MIS Database,"NB public hospitals and health regions financial and statistical data relating to hospital services. Variables include establishment ID, name, health region, contact information, teaching status, facility type, institution open and close date, maximum number of beds and bassinets.",PD0056,NB Department of Health
49,1999-2018,CanREValue,New Data set! Description coming soon!,PD0057,Vitalité Health Network
48,2004-2018,Cardiac Surgery Registry,New Data - Summary coming soon!,PD0031,Horizon Health Network
3,1995-2015,CCDSS Acute Myocardial Infarction,"The Canadian Chronic Disease Surveillance System (CCDSS) is a collaborative network of provincial and territorial surveillance systems, supported by the Public Health Agency of Canada (PHAC). The CCDSS enhances the scope of data on chronic diseases in Canada and supports the planning of health resources and the development of health policies and programs. It collects data on all residents who are eligible for provincial or territorial health insurance and can generate national estimates and trends over time for over 20 chronic diseases. <br><br>NB-IRDT CCDSS Acute Myocardial Infarction dataset contains estimates of the incidence and prevalence of Acute Myocardial Infarction in New Brunswick patients.",PD0007b,NB Department of Health
4,1995-2016,CCDSS Chronic Obstructive Pulmonary Disease ,"The Canadian Chronic Disease Surveillance System (CCDSS) is a collaborative network of provincial and territorial surveillance systems, supported by the Public Health Agency of Canada (PHAC). The CCDSS enhances the scope of data on chronic diseases in Canada and supports the planning of health resources and the development of health policies and programs. It collects data on all residents who are eligible for provincial or territorial health insurance and can generate national estimates and trends over time for over 20 chronic diseases. <br><br>NB-IRDT CCDSS Chronic Obstructive Pulmonary Disease (COPD) dataset contains estimates of the incidence and prevalence of COPD in New Brunswick patients.",PD0003,NB Department of Health
5,1995-2016,CCDSS Diabetes,"The Canadian Chronic Disease Surveillance System (CCDSS) is a collaborative network of provincial and territorial surveillance systems, supported by the Public Health Agency of Canada (PHAC). The CCDSS enhances the scope of data on chronic diseases in Canada and supports the planning of health resources and the development of health policies and programs. It collects data on all residents who are eligible for provincial or territorial health insurance and can generate national estimates and trends over time for over 20 chronic diseases. <br><br>NB-IRDT CCDSS Diabetes dataset contains estimates of the incidence and prevalence of Diabetes in New Brunswick patients.",PD0004,NB Department of Health
6,1995-2015,CCDSS Heart Failure,"The Canadian Chronic Disease Surveillance System (CCDSS) is a collaborative network of provincial and territorial surveillance systems, supported by the Public Health Agency of Canada (PHAC). The CCDSS enhances the scope of data on chronic diseases in Canada and supports the planning of health resources and the development of health policies and programs. It collects data on all residents who are eligible for provincial or territorial health insurance and can generate national estimates and trends over time for over 20 chronic diseases. <br><br>NB-IRDT CCDSS Heart Failure dataset contains estimates of the incidence and prevalence of Heart Failure in New Brunswick patients.",PD0005,NB Department of Health
7,1995-2015,CCDSS Hypertension,"The Canadian Chronic Disease Surveillance System (CCDSS) is a collaborative network of provincial and territorial surveillance systems, supported by the Public Health Agency of Canada (PHAC). The CCDSS enhances the scope of data on chronic diseases in Canada and supports the planning of health resources and the development of health policies and programs. It collects data on all residents who are eligible for provincial or territorial health insurance and can generate national estimates and trends over time for over 20 chronic diseases. <br><br>NB-IRDT CCDSS Hypertension dataset contains estimates of the incidence and prevalence of Hypertension in New Brunswick patients.",PD0006,NB Department of Health
8,1995-2015,CCDSS Ischemic Heart Disease,"The Canadian Chronic Disease Surveillance System (CCDSS) is a collaborative network of provincial and territorial surveillance systems, supported by the Public Health Agency of Canada (PHAC). The CCDSS enhances the scope of data on chronic diseases in Canada and supports the planning of health resources and the development of health policies and programs. It collects data on all residents who are eligible for provincial or territorial health insurance and can generate national estimates and trends over time for over 20 chronic diseases. <br><br>NB-IRDT CCDSS Ischemic Heart Disease dataset contains estimates of the incidence and prevalence of Ischemic Heart Disease in New Brunswick patients.",PD0007a,NB Department of Health
9,1995-2015,CCDSS Mood and Anxiety Disorders,"The Canadian Chronic Disease Surveillance System (CCDSS) is a collaborative network of provincial and territorial surveillance systems, supported by the Public Health Agency of Canada (PHAC). The CCDSS enhances the scope of data on chronic diseases in Canada and supports the planning of health resources and the development of health policies and programs. It collects data on all residents who are eligible for provincial or territorial health insurance and can generate national estimates and trends over time for over 20 chronic diseases. <br><br>NB-IRDT CCDSS Mood and Anxiety Disorders dataset contains estimates of the incidence and prevalence of Mood and Anxiety Disorders in New Brunswick patients.",PD0008,NB Department of Health
10,1995-2014,CCDSS Multiple Sclerosis,"The Canadian Chronic Disease Surveillance System (CCDSS) is a collaborative network of provincial and territorial surveillance systems, supported by the Public Health Agency of Canada (PHAC). The CCDSS enhances the scope of data on chronic diseases in Canada and supports the planning of health resources and the development of health policies and programs. It collects data on all residents who are eligible for provincial or territorial health insurance and can generate national estimates and trends over time for over 20 chronic diseases. <br><br>NB-IRDT CCDSS Multiple Sclerosis dataset contains estimates of the incidence and prevalence of Multiple Sclerosis in New Brunswick patients.",PD0009,NB Department of Health
11,1995-2014,CCDSS Neurological Conditions ,"The Canadian Chronic Disease Surveillance System (CCDSS) is a collaborative network of provincial and territorial surveillance systems, supported by the Public Health Agency of Canada (PHAC). The CCDSS enhances the scope of data on chronic diseases in Canada and supports the planning of health resources and the development of health policies and programs. It collects data on all residents who are eligible for provincial or territorial health insurance and can generate national estimates and trends over time for over 20 chronic diseases. <br><br>NB-IRDT CCDSS Neurological Conditions dataset contains estimates of the incidence and prevalence of neurological conditions in New Brunswick patients.",PD0010,NB Department of Health
12,1995-2014,CCDSS Parkinson's,"The Canadian Chronic Disease Surveillance System (CCDSS) is a collaborative network of provincial and territorial surveillance systems, supported by the Public Health Agency of Canada (PHAC). The CCDSS enhances the scope of data on chronic diseases in Canada and supports the planning of health resources and the development of health policies and programs. It collects data on all residents who are eligible for provincial or territorial health insurance and can generate national estimates and trends over time for over 20 chronic diseases. <br><br>NB-IRDT CCDSS Parkinson&#39;s dataset contains estimates of the incidence and prevalence of Parkinson&#39;s in New Brunswick patients.",PD0011,NB Department of Health
13,1995-2015,CCDSS Stroke,"The Canadian Chronic Disease Surveillance System (CCDSS) is a collaborative network of provincial and territorial surveillance systems, supported by the Public Health Agency of Canada (PHAC). The CCDSS enhances the scope of data on chronic diseases in Canada and supports the planning of health resources and the development of health policies and programs. It collects data on all residents who are eligible for provincial or territorial health insurance and can generate national estimates and trends over time for over 20 chronic diseases. <br><br>NB-IRDT CCDSS Stroke dataset contains estimates of the incidence and prevalence of Stroke in New Brunswick patients.",PD0012,NB Department of Health
41,1971-2019,Citizen Database,Basic demographic and location information on all residents of New Brunswick who have been issued a provincial Medicare card.,PD0013,NB Department of Health
14,2011-2019,Clinical Data Repository (Lumbar/Spine),New dataset! Description coming soon.,PD0062,NB Department of Health
43,1996-2018,Contact NB,"Information on clients who seek employment counselling through Post-secondary Education Training and Labour. Data includes information on initial assessment, action plan, interventions, applicable education history, employment history, group sessions.",PD0050,"Post-Secondary Education, Training and Labour"
56,"Jan 01, 2020- Nov 9, 2020",COVID-19 Case Data,"New Dataset, description in preparation.",PD0090,Vitalité Health Network
15,1999-2018,Discharge Abstract Data,"Patient discharge information from New Brunswick hospitals.  Captures administrative, clinical and demographic information including discharges, deaths, sign-outs, and transfers.",PD0014,NB Department of Health
32,2016-2019,Early Years Evaluation (Anglophone Sector),"Assessment results measuring a child’s readiness to enter the education system. Included are measurements of a child’s awareness of self and environment, cognitive skills, language and communication skills, physical development and fine and gross motor skills.",PD0043E,Education and Early Childhood Development
33,2016-2019,Early Years Evaluation (Francophone Sector),"Assessment results measuring a child’s readiness to enter the education system. Included are measurements of a child’s awareness of self and environment, cognitive skills, language and communication skills, physical development and fine and gross motor skills.",PD0043F,Education and Early Childhood Development
65,2019-2020,Enrolment in Designated Facilities,New Dataset - Description coming soon!,PD0089,Education and Early Childhood Development
54,1983-2016,Environmental Geographic,"Measures related to the environment and neighbourhood / urban living broadly categorized as: <br>1. Air Quality - ground level ozone, fine particulates, sulfur dioxide, and nitrogen dioxide; <br>2. Greenness - different measures using normalized difference vegetation indices (NDVI); <br>3. Weather and Climate - local climate zones, water balance metrics, and weather indicators; and <br>4. Neighbourhood - material and social deprivation, access to employment, nighttime light, active living environments, and the Canadian Marginalization Index.",PD0078,Canadian Urban Environmental (CANUE)
